id,order_no,product_name,unit,quantity,unit_price,total_price,remark
197,"20231231002","地狱猫","包",10,6.8,68,""
198,"20231231002","三层网","条",2,90,180,""
199,"20231231002","浮漂座","包",5,1.2,6,""
200,"20231118001","防鸟网","条",40,17,680,""
201,"20231118001","蚯蚓","盒",50,2,100,""
202,"20231113002","冠军杯纳米
漂","支",6,20,120,""
203,"20231113005","老鬼虾拉","包",10,8,80,""
204,"20231113005","九狼翻板钩","包",10,3,30,""
205,"20231113005","诺龙翻板钩","包",20,3,60,""
206,"20231113005","麝香酒","瓶",10,9,90,""
207,"20231113005","天网伙食米","瓶",10,6.8,68,""
208,"20231113005","红虫风暴","包",10,9.8,98,""
209,"20231113005","天元嫩玉米","包",10,12,120,""
210,"20231113005","达摩","个",0,0,0,""
211,"20231128002","湘霸","包",10,6.6,66,""
212,"20231128002","糠饼","个",5,9,45,""
213,"20231128002","全能腥  香","包",15,8,120,""
214,"20231128002","赛道","包",1,18,18,""
215,"20231128002","巨无霸","包",5,6.5,32.5,""
216,"20231128002","天网伙食米","瓶",10,5.6,56,""
217,"20231128002","鱼浪酒米","瓶",5,2.5,12.5,""
218,"20231128002","野战蓝鲫","包",10,6.5,65,""
219,"20231128002","货票","个",1,5,5,""
220,"20231124001","天元虾肉散
炮","包",20,11.2,224,""
221,"20231124001","射香酒","瓶",5,8,40,""
222,"20231124001","老G散炮鲫","包",5,10,50,""
223,"20231124001","600克伙食米
碎米","瓶",10,5.6,56,""
224,"20231124001","240克来得快
酒米","瓶",10,2.4,24,""
225,"20231124001","钢丝绳打虾
器","个",4,14,56,""
226,"20231124001","老鬼小肽蛋
白","包",15,16,240,""
227,"20231124001","巨物太空豆","个",30,1,30,""
228,"20231128003","天网伙食米","瓶",35,6.8,238,""
229,"20231128003","改良翻板钩","包",20,3.1,62,""
230,"20231128003","牛P红虫颗粒","包",90,2.3,207,""
231,"20231213003","鱼浪酒米","瓶",10,2.3,23,""
232,"20231213003","拉丝粉","瓶",10,2.8,28,""
233,"20231213003","天元虾肉散
炮","包",20,11.2,224,""
234,"20231213003","赛道","包",5,17,85,""
235,"20231213003","锐鹰翻板钩","包",30,3,90,""
236,"20231213003","锚钩","个",20,3.5,70,""
237,"20231213003","锚钩","个",20,3.7,74,""
238,"20231231001","伙食米碎米","瓶",12,6.8,81.6,""
239,"20231231001","射香酒","瓶",12,8,96,""
240,"20231231001","糠饼","个",20,9.5,190,""
241,"20231111001","西部风老坛
五谷杂粮","包",10,8,80,""
